25.4012352,36.3919660237
25.4011706704,36.3918728223
25.4010918077,36.3917581129
25.4010702997,36.3916864195
25.401034453,36.3915717045
25.4010057756,36.3914856724
25.4009054049,36.3914426564
25.4008408808,36.3913637937
25.4008122035,36.3911630522
25.4008193728,36.3909909825
25.4008337115,36.3908475958
25.4009084544,36.3906252794
25.4010079721,36.390370963
25.4011706704,36.3901593338
25.4013618063,36.3899839526
25.4016080056,36.3899012376
25.4018517686,36.3898868989
25.4021743889,36.3899370843
25.402391738,36.3901020181
25.4025400307,36.3902023498
25.4027479415,36.3902812125
25.4029430021,36.3904483651
25.4030535749,36.3906142244
25.403119922,36.3908906564
25.4031088669,36.3911118021
25.4031251345,36.3913365714
25.4030633979,36.3915932125
25.4029137728,36.3918535777
25.4027909575,36.391973193
25.4026475707,36.3920879024
25.402482676,36.3921595958
25.4023249449,36.3921954425
25.4021815582,36.3922097811
25.4020381714,36.3922097811
25.4018704446,36.3922285909
25.4017083763,36.3922312947
25.4015649895,36.3921954425
25.4014144334,36.3921237491
25.4013212321,36.392059225
