25.4161158244,36.4176313505
25.4157548655,36.417480248
25.4155849422,36.4173669658
25.4154692739,36.4172146871
25.4154150132,36.4170129477
25.4153974355,36.4168267568
25.4154741854,36.4165171372
25.4155502662,36.4162139345
25.4156808585,36.4160004487
25.4158071247,36.4157772794
25.4159465812,36.41557234
25.4159869268,36.4153149352
25.4158137199,36.4151442257
25.4155991024,36.4150446188
25.4153017254,36.4150021379
25.4150326746,36.4149738174
25.4147655805,36.4149523149
25.4144703331,36.4149080278
25.4142049115,36.4149014773
25.4139388822,36.4149080278
25.4136141045,36.4149080278
25.413305076,36.4149171763
25.4130218648,36.4149454968
25.4126961728,36.4149738174
25.4123846355,36.4149596571
25.4121155847,36.4149738174
25.411901101,36.4149341296
25.4117175916,36.4148627651
25.4115748571,36.4147302271
25.4114627122,36.4145874982
25.4114015443,36.4144039888
25.4113709603,36.4141796989
25.4113301798,36.4139146285
25.4112282314,36.4136495581
25.4111160864,36.4134864362
25.4110345254,36.4133437073
25.4110141324,36.4131805909
25.4110854969,36.4128951275
25.4111976418,36.4126402536
25.4113199833,36.4124771317
25.4114015443,36.4123344027
25.4114627122,36.4122120613
25.4115442732,36.4121712808
25.4116156376,36.4121814773
25.4116462272,36.4122732348
25.4116666146,36.4123955707
25.4117685631,36.4124771317
25.4119112976,36.4124975247
25.4120336334,36.4124159637
25.4121661714,36.4123445993
25.4123190969,36.4123242062
25.4124807749,36.4123296418
25.4127968669,36.4122434369
25.4129751303,36.412177547
25.4132012209,36.4120698843
25.4134273171,36.4119406857
25.4136209115,36.4117179122
25.4137255972,36.4115259846
25.4138477324,36.4112817142
25.4138651819,36.4110199944
25.4139175247,36.4106710383
25.4140222105,36.4104442174
25.414179239,36.4102697393
25.4143013742,36.4100603623
25.414450124,36.409841246
25.4145147206,36.4096259149
25.4145900878,36.4094967219
25.4147408167,36.4093782885
25.4149884432,36.4093136919
25.4152450843,36.4093237268
25.4156132627,36.4092387595
25.4158681533,36.4091254773
25.4162221659,36.4090829965
25.4165620237,36.4090971568
25.4169302021,36.4091821184
25.4172134132,36.409281246
25.4175249449,36.4093237268
25.4178081617,36.4094086885
25.4180913728,36.4094086885
25.418374584,36.4094511693
25.418700276,36.4094653296
25.4190473645,36.4094536557
25.4192978509,36.4094257087
25.4195191582,36.4093765324
25.4198142272,36.4093027651
25.4201024725,36.4092060292
25.4204048613,36.4091211177
25.4206705895,36.4090473059
25.4210870746,36.4089963177
25.4213888,36.4088957463
25.4216330481,36.4088382745
25.4219778787,36.4088382745
25.422236499,36.4088957463
25.4224951136,36.4090106899
25.4226818955,36.4091687331
25.4228686774,36.4094273533
25.4230051122,36.4096635791
25.4230599972,36.4099912613
25.4230599972,36.4104338648
25.4230309296,36.4107994508
25.4229663275,36.4110578425
25.4227106341,36.4114101045
25.4225525854,36.411740563
25.4224663805,36.4119848167
25.4223658091,36.41227217
25.4222970815,36.4125523484
25.4221696334,36.4128497254
25.4220280251,36.4131329365
25.4218581017,36.4132745393
25.421645692,36.413430308
25.4214616028,36.4135152752
25.4213624753,36.413656878
25.4213624753,36.413883448
25.4214893714,36.414197455
25.4216186815,36.4144417087
25.4218341965,36.414729062
25.4218773017,36.4150020487
25.4218054634,36.4153037742
25.4215612098,36.415605494
25.421288223,36.4157348041
25.4210870746,36.4158497477
25.4209290314,36.416022163
25.4207997213,36.4162520446
25.4206544446,36.4165456473
25.4204979958,36.4166543414
25.4202579456,36.4168430188
25.4200172153,36.4169421463
25.4198370787,36.4170566439
25.4197508683,36.4173152641
25.4197221352,36.4176026174
25.4196502969,36.4178756041
25.4194922537,36.418062386
25.4192336334,36.4182635345
25.418831331,36.4184215832
25.4184865059,36.4185077881
25.4181847861,36.4184934216
25.4177681171,36.4184359498
25.4175526021,36.4183066397
25.4173370871,36.418062386
25.417207777,36.4178756041
25.4169778899,36.4177893993
25.4166330648,36.417746294
